Date,Open,High,Low,Close,Adj Close,Volume
2016-07-15,0.295,0.298,0.293,0.298,0.298,0
2016-07-18,0.298,0.298,0.288,0.288,0.288,0
2016-07-19,0.313,0.315,0.31,0.31,0.31,0
2016-07-20,0.31,0.315,0.31,0.315,0.315,0
2016-07-21,0.308,0.308,0.303,0.303,0.303,0
2016-07-22,0.303,0.305,0.303,0.303,0.303,0
2016-07-25,0.303,0.303,0.298,0.298,0.298,0
2016-07-26,0.313,0.315,0.308,0.308,0.308,0
2016-07-27,0.305,0.308,0.275,0.283,0.283,0
2016-07-28,0.27,0.27,0.22,0.22,0.22,0
2016-07-29,0.22,0.24,0.215,0.24,0.24,0
2016-08-01,0.258,0.258,0.235,0.238,0.238,0
2016-08-02,0.275,0.28,0.273,0.28,0.28,0
2016-08-03,0.275,0.275,0.268,0.268,0.268,0
2016-08-04,0.263,0.263,0.245,0.248,0.248,0
2016-08-05,0.245,0.253,0.243,0.25,0.25,0
2016-08-08,0.253,0.26,0.243,0.25,0.25,0
2016-08-09,0.293,0.295,0.29,0.293,0.293,0
2016-08-10,0.295,0.295,0.27,0.273,0.273,0
2016-08-11,0.268,0.275,0.255,0.275,0.275,0
2016-08-12,0.27,0.27,0.263,0.263,0.263,0
2016-08-15,0.265,0.275,0.263,0.275,0.275,0
2016-08-16,0.285,0.29,0.285,0.288,0.288,0
2016-08-17,0.288,0.29,0.288,0.288,0.288,0
2016-08-18,0.283,0.285,0.283,0.285,0.285,0
2016-08-19,0.283,0.293,0.283,0.293,0.293,0
2016-08-22,0.295,0.295,0.278,0.28,0.28,0
2016-08-23,0.305,0.308,0.303,0.305,0.305,0
2016-08-24,0.305,0.308,0.305,0.305,0.305,0
2016-08-25,0.3,0.31,0.3,0.305,0.305,0
2016-08-26,0.3,0.31,0.3,0.305,0.305,0
2016-08-29,0.31,0.313,0.303,0.305,0.305,0
2016-08-30,0.325,0.328,0.323,0.325,0.325,0
2016-08-31,0.325,0.328,0.32,0.32,0.32,0
2016-09-01,0.32,0.32,0.315,0.315,0.315,0
2016-09-02,0.308,0.315,0.29,0.303,0.303,0
2016-09-06,0.31,0.31,0.303,0.303,0.303,0
2016-09-07,0.328,0.33,0.328,0.33,0.33,0
2016-09-08,0.328,0.335,0.325,0.333,0.333,0
2016-09-09,0.33,0.335,0.33,0.333,0.333,0
2016-09-12,0.333,0.358,0.33,0.35,0.35,0
2016-09-13,0.36,0.36,0.345,0.345,0.345,0
2016-09-14,0.34,0.343,0.315,0.315,0.315,0
2016-09-15,0.295,0.295,0.278,0.278,0.278,0
2016-09-16,0.27,0.278,0.27,0.273,0.273,0
2016-09-19,0.268,0.268,0.238,0.238,0.238,0
2016-09-20,0.285,0.293,0.285,0.288,0.288,0
2016-09-21,0.29,0.29,0.215,0.223,0.223,0
2016-09-22,0.183,0.188,0.158,0.16,0.16,0
2016-09-23,0.165,0.165,0.16,0.165,0.165,0
2016-09-26,0.163,0.185,0.163,0.173,0.173,0
2016-09-27,0.243,0.258,0.24,0.255,0.255,0
2016-09-28,0.265,0.273,0.263,0.263,0.263,0
2016-09-29,0.25,0.25,0.223,0.235,0.235,0
2016-09-30,0.23,0.26,0.23,0.26,0.26,0
2016-10-03,0.273,0.288,0.273,0.288,0.288,0
2016-10-04,0.308,0.32,0.308,0.315,0.315,0
2016-10-05,0.32,0.32,0.313,0.313,0.313,0
2016-10-06,0.308,0.315,0.308,0.31,0.31,0
2016-10-07,0.315,0.315,0.303,0.31,0.31,0
2016-10-10,0.308,0.308,0.308,0.308,0.308,0
2016-10-11,0.325,0.325,0.32,0.32,0.32,0
2016-10-12,0.348,0.348,0.34,0.34,0.34,0
2016-10-13,0.318,0.318,0.275,0.275,0.275,0
2016-10-14,0.27,0.29,0.268,0.29,0.29,0
2016-10-17,0.29,0.295,0.288,0.295,0.295,0
2016-10-18,0.33,0.333,0.33,0.333,0.333,0
2016-10-19,0.328,0.328,0.318,0.323,0.323,0
2016-10-20,0.323,0.323,0.32,0.32,0.32,0
2016-10-21,0.318,0.318,0.315,0.315,0.315,0
2016-10-24,0.318,0.32,0.313,0.313,0.313,0
2016-10-25,0.34,0.34,0.325,0.325,0.325,0
2016-10-26,0.325,0.328,0.313,0.313,0.313,0
2016-10-27,0.31,0.31,0.273,0.275,0.275,0
2016-10-28,0.275,0.278,0.27,0.273,0.273,0
2016-10-31,0.275,0.295,0.275,0.295,0.295,0
2016-11-01,0.343,0.348,0.343,0.345,0.345,0
2016-11-02,0.345,0.348,0.345,0.345,0.345,0
2016-11-03,0.345,0.358,0.345,0.358,0.358,0
2016-11-04,0.35,0.358,0.35,0.358,0.358,0
2016-11-07,0.358,0.39,0.358,0.39,0.39,0
2016-11-08,0.415,0.423,0.415,0.42,0.42,0
2016-11-09,0.408,0.42,0.398,0.418,0.418,0
2016-11-10,0.425,0.458,0.425,0.458,0.458,0
2016-11-14,0.47,0.503,0.47,0.503,0.503,0
2016-11-15,0.508,0.51,0.485,0.488,0.488,0
2016-11-16,0.48,0.48,0.448,0.453,0.453,0
2016-11-17,0.448,0.45,0.415,0.42,0.42,0
2016-11-18,0.413,0.418,0.413,0.418,0.418,0
2016-11-21,0.418,0.43,0.418,0.42,0.42,0
2016-11-22,0.473,0.475,0.473,0.475,0.475,0
2016-11-23,0.475,0.488,0.473,0.485,0.485,0
2016-11-25,0.48,0.485,0.48,0.48,0.48,0
2016-11-28,0.48,0.483,0.45,0.45,0.45,0
2016-11-29,0.478,0.478,0.468,0.468,0.468,0
2016-11-30,0.465,0.468,0.465,0.468,0.468,0
2016-12-01,0.47,0.47,0.458,0.458,0.458,0
2016-12-02,0.458,0.458,0.455,0.455,0.455,0
2016-12-05,0.455,0.46,0.45,0.453,0.453,0
2016-12-06,0.483,0.488,0.483,0.485,0.485,0
2016-12-07,0.483,0.488,0.48,0.488,0.488,0
2016-12-08,0.48,0.49,0.48,0.49,0.49,0
2016-12-09,0.49,0.52,0.49,0.52,0.52,0
2016-12-12,0.518,0.518,0.498,0.5,0.5,0
2016-12-13,0.515,0.523,0.515,0.523,0.523,0
2016-12-14,0.52,0.523,0.51,0.523,0.523,0
2016-12-15,0.503,0.503,0.483,0.488,0.488,0
2016-12-16,0.488,0.493,0.483,0.485,0.485,0
2016-12-19,0.48,0.48,0.473,0.478,0.478,0
